序号,披露日期,承租人,承租人所属集团,承租人企业类型,承租人科技型称号,承租人负面信息,承租人经营状态,承租人-法定代表人,承租人-联系电话,出租人,出租人企业类型,出租人-法定代表人,出租人-联系电话,融资额（万元）,融资额币种,财产价值（万元）,财产价值币种,期限,起始日期,截止日期,最新登记状态,租赁财产描述,申万行业一级,国标行业门类,国标行业大类,承租人所属地区,出租人所属地区,文件来源
11,2025/5/30,鲁山县宁升新能源有限公司,,民企,,,在营,杨嫦玲,18367453476,中信金融租赁有限公司,国企,李刚,010-53939600,,,"3,017.97",CNY,25年,2025/5/30,2050/5/29,初始登记,位于河南省平顶山市276套，户用光伏发电系统设备，容量11432.67KW，价值：30179737.7元,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,河南-平顶山-鲁山,天津-滨海,租赁融资事件-租赁资产价值1000-5000_5月
12,2025/5/30,五寨县国新能源煤炭运销有限责任公司,,民企,,,在营,褚向东,19903503333,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,,"1,522.54",CNY,3.16年,2025/5/30,2028/7/29,初始登记,详见附件。,商贸零售,批发和零售业,批发业,山西-忻州-五寨,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
13,2025/5/30,五寨县国新能源煤炭运销有限责任公司,,民企,,,在营,褚向东,19903503333,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,,"2,108.65",CNY,3.16年,2025/5/30,2028/7/29,初始登记,详见附件。,商贸零售,批发和零售业,批发业,山西-忻州-五寨,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
14,2025/5/30,定州市育龙双语学校,,,,,在营,曹建光,,远东宏信融资租赁(广东)有限公司,国企,孔繁星,021-38913000,,,"2,067.10",CNY,3.16年,2025/5/30,2028/7/29,初始登记,详见附件。,,,,河北-保定-定州,广东-广州-南沙,租赁融资事件-租赁资产价值1000-5000_5月
15,2025/5/30,潍坊雷腾动力机械有限公司,,民企,"国家级专精特新""小巨人""企业,高新技术企业,省级""专精特新""中小企业,省级创新型中小企业,省级企业技术中心,省级制造业单项冠军企业",,在营,孟凡银,15753622967,海发宝诚融资租赁有限公司,"国企,发债",张明明,021-65967877,,,"1,100.00",CNY,5年,2025/5/30,2030/5/29,初始登记,详见附件。潍坊雷腾动力机械有限公司在租赁期限内，不得转让租赁物或在租赁物上设置担保等任何处置行为。,电力设备,制造业,电气机械和器材制造业,山东-潍坊-青州,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
16,2025/5/30,深圳市易达恒通供应链管理有限公司,,民企,,,在营,孙志民,0755-23950051,山东汇通金融租赁有限公司,"国企,发债",王茂昌,0531-85102809,,,"2,175.77",CNY,0.75年,2025/5/30,2026/2/27,初始登记,租赁物为CPU设备，发票价值为21757690.09元，详见租赁物清单。租赁期限内，未经出租人书面同意，承租人不得转让、抵押、质押、投资入股或者以其他方式处分租赁物。,交通运输,交通运输、仓储和邮政业,道路运输业,广东-深圳-福田,山东-济南-历下,租赁融资事件-租赁资产价值1000-5000_5月
17,2025/5/30,华北利星行机械(北京)有限公司,,,,,在营,傅耀生,+86 13263277305,利星行融资租赁(中国)有限公司,,傅耀生（POH YEOW KIM LAWRENCE）,0512-36633330,,,"3,172.93",CNY,1.08年,2025/5/30,2026/6/29,初始登记,"374液压挖掘机,323GX液压挖掘机,323GX液压挖掘机,313GC液压挖掘机,323液压挖掘机,323液压挖掘机,323液压挖掘机,330GC液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,336液压挖掘机,395液压挖掘机,336液压挖掘机,336液压挖掘机,323GX液压挖掘机,323GX液压挖掘机,323GX液压挖掘机,326液压挖掘机,326液压挖掘机,326液压挖掘机,326液压挖掘机,374液压挖掘机,374液压挖掘机(机编号分别为KHH00439,KTB50090,KTB50108,HFK20190,GKW30005,GKW30006,GKW30007,RBN30023,NDW30037,NDW30105,NDW30106,NDW30034,NDW30035,NDW30036,NDW30110,NDW30111,NDW30107,NDW30108,NDW30114,NDW30112,NDW30113,NDW30143,NDW30144,RNG10164,NDW30160,NDW30161,KTB50109,KTB50115,KTB50118,JFH30016,JFH30017,JFH30020,JFH30021,KHH10046,KHH00330)",电力设备,制造业,电气机械和器材制造业,北京-大兴,江苏-苏州-昆山,租赁融资事件-租赁资产价值1000-5000_5月
18,2025/5/30,广德市交通投资有限公司,安徽桐汭投资经营集团有限公司,"国企,城投子公司",,,在营,李传忠,0563-6767706,平安国际融资租赁(天津)有限公司,"民企,发债",李文艺,2138091169,,,"3,084.68",CNY,3.16年,2025/5/30,2028/7/29,初始登记,租赁物详情请见附件,综合,租赁和商务服务业,商务服务业,安徽-宣城-广德,天津-滨海,租赁融资事件-租赁资产价值1000-5000_5月
19,2025/5/30,辽宁建兴固废资源循环利用有限公司,,民企,,,在营,林建强,15933506550,国耀融汇融资租赁有限公司,"国企,发债",黄德炜,021-38601288,,,"1,618.70",CNY,3年,2025/5/29,2028/5/28,变更登记,设备一批，详见附件,环保,制造业,废弃资源综合利用业,辽宁-阜新-阜蒙县,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
20,2025/5/30,萨驰智能装备股份有限公司,,民企,"国家级专精特新""小巨人""企业,高新技术企业,省级""专精特新""中小企业",被执行人,在营,张英姿,0512-86181888,江苏宝涵租赁有限公司,"国企,发债",张辛,51257367758,,,"2,535.27",CNY,1.66年,2025/5/30,2027/1/29,初始登记,租赁物为承租人名下位于昆山市周市镇横长泾路111号的智能物流设备线，详见租赁物清单。,机械设备,制造业,通用设备制造业,江苏-苏州-昆山,江苏-苏州-昆山,租赁融资事件-租赁资产价值1000-5000_5月
21,2025/5/30,东晨阳光(北京)太阳能科技有限公司,北京中关村延庆园投资发展有限公司,国企,省级创新型中小企业,,在营,陈贵元,010-62670321,远东宏信(天津)融资租赁有限公司,"国企,发债",孔繁星,022-83812843,,,"3,006.14",CNY,3.16年,2025/5/30,2028/7/29,初始登记,详见附件。,综合,科学研究和技术服务业,科技推广和应用服务业,北京-延庆,天津-滨海,租赁融资事件-租赁资产价值1000-5000_5月
22,2025/5/30,定州市第一中学,,,,,在营,曹建光,,远东宏信融资租赁(广东)有限公司,国企,孔繁星,021-38913000,,,"4,036.22",CNY,3.16年,2025/5/30,2028/7/29,初始登记,详见附件。,,,,河北-保定-定州,广东-广州-南沙,租赁融资事件-租赁资产价值1000-5000_5月
23,2025/5/30,巨野澜亭酒店管理有限公司,,民企,,,在营,周志强,13287923987,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,,"2,246.77",CNY,2.66年,2025/5/30,2028/1/29,初始登记,详见附件。,综合,租赁和商务服务业,商务服务业,山东-菏泽-巨野,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
24,2025/5/30,重庆龙头港物流发展有限公司,重庆市涪陵产业发展集团有限公司,"国企,城投,发债",,,在营,徐君侠,2372807751,山东汇通金融租赁有限公司,"国企,发债",王茂昌,0531-85102809,,,"2,499.02",CNY,5.16年,2025/5/30,2030/7/29,初始登记,租赁物为起重机设备，发票价值为24990200.00元，详见租赁物清单。租赁期限内，未经出租人书面同意，承租人不得转让、抵押、质押、投资入股或者以其他方式处分租赁物。,交通运输,交通运输、仓储和邮政业,铁路运输业,重庆-涪陵,山东-济南-历下,租赁融资事件-租赁资产价值1000-5000_5月
25,2025/5/30,唐山金湾特碳石墨有限公司,,民企,"国家级专精特新""小巨人""企业,高新技术企业,省级技术创新示范企业,省级企业技术中心,省级制造业单项冠军企业",,在营,臧文平,022-69387885,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,,"1,148.00",CNY,1.5年,2025/5/30,2026/11/29,初始登记,设备一批，详情请参考附件,综合,制造业,非金属矿物制品业,河北-唐山-丰南,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_5月
26,2025/5/30,宿迁青华中学,,,,,在营,张恕生,,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,,"4,309.85",CNY,3.16年,2025/5/30,2028/7/29,初始登记,详见附件。,,,,江苏-宿迁-宿城,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
27,2025/5/30,九江弘达石油化工有限公司,,民企,,,在营,何治衡,2185866,君创国际融资租赁有限公司,"民企,发债",李思明,021-23291188,,,"1,557.55",CNY,6年,2025/5/30,2031/5/29,初始登记,设备一批,商贸零售,批发和零售业,批发业,江西-九江-湖口,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_5月
28,2025/5/30,临沂瑞和食品有限公司,,民企,,,在营,葛世栋,17853930059,平安国际融资租赁(天津)有限公司,"民企,发债",李文艺,2138091169,,,"2,615.58",CNY,2.16年,2025/5/30,2027/7/29,初始登记,租赁物详情请见附件,食品饮料,制造业,食品制造业,山东-临沂-临沭,天津-滨海,租赁融资事件-租赁资产价值1000-5000_5月
29,2025/5/30,湖北翔瑞环保有限公司,,民企,"高新技术企业,省级""专精特新""中小企业,省级制造业单项冠军企业",,在营,常仕镭,0714-7551808,民生金融租赁股份有限公司,"民企,发债",黄红日,010-68940066,,,"3,314.89",CNY,6年,2025/5/30,2031/5/29,变更登记,"【名称:特排提标设备,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准+发票号为05717139、17517375、01154722、01784799、00154771、07063060、02117794、02296997、01784816、01784817、02689085、02779151、02779152、15120731、13852308、02720604、01676152、11247770、15141315、18116416、18116417、15198029、20272199、11856957,其他: 。名称:三效蒸发设备,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准+包含发票号为53292134、53292147、53292138、53292137、53292136、53292148、01163819、01163820、01163821、12940094、05581134、12705964、01632959、53292157、13098955、13098956、52848069、12936002、12936003、12936007、12936005、12936006、00021486、03686999,其他: 。名称:制砖机,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:节能烘干系统,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:湿电除尘设备,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:洗袋设备,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:脱硫设备,型号:组合设备,数量:5.0,出厂编号:/,/,/,/,/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:制球系统成套设备,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:污水循环处理设备,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:皮带输送机,型号:皮带廊+输送机,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:生产用池设施,型号:/,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:原料转运系统,型号:/,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:供电系统,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:提升机,型号:/,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:烧结设备系统,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:除尘设备,型号:组合设备,数量:5.0,出厂编号:/,/,/,/,/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:磨粉机,型号:MTM-130,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:制砖设备,型号:组合设备,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准,其他: 。名称:热风炉,型号:WRF-200,数量:1.0,出厂编号:/,设备所在地:湖北省黄石市阳新县富池镇循环经济产业园,发票号码:以鄂正量行资评报字[2025]第 Z089 号《湖北翔瑞环保有限公司拟融资租赁所涉及的91项机器设备资产评估报告》为准+08195870,其他: 。名称:陶瓷真空过滤机,型号...",环保,水利、环境和公共设施管理业,生态保护和环境治理业,湖北-黄石-阳新,天津-东丽,租赁融资事件-租赁资产价值1000-5000_5月
30,2025/5/30,山东汇能新材料科技股份有限公司,,民企,"高新技术企业,省级""专精特新""中小企业,省级科技小巨人企业",,在营,黄修河,0537-3268081,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,,"2,171.82",CNY,2年,2025/5/30,2027/5/29,初始登记,设备一批，详情请参考附件,综合,科学研究和技术服务业,科技推广和应用服务业,山东-济宁-金乡,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_5月
31,2025/5/30,新疆华电苦水风电有限责任公司,中国华电集团有限公司,央企子公司,,,在营,张宇,0902-6960166,国网国际融资租赁有限公司,"国企,发债",李英,010-51972655,,,"3,000.00",CNY,4年,2025/5/30,2029/5/29,初始登记,详见租赁物清单,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,新疆-哈密-伊州,天津-滨海,租赁融资事件-租赁资产价值1000-5000_5月
32,2025/5/30,潍坊华腾印染织造有限公司,,民企,,,在营,孙凤仙,7883888,民生金融租赁股份有限公司,"民企,发债",黄红日,010-68940066,,,"2,141.01",CNY,5年,2025/5/30,2030/5/29,初始登记,"【名称:100T四辊轧花机,型号:3200型,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:05251805、05251807、05251806、05251804,其他: 。名称:蓝圆UV激光制网机,型号:BRC3000,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:34287725、34287724,其他: 。名称:闭式冷却塔,型号:/,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:12302312,其他: 。名称:圆(镍)网除胶循环利用系统,型号:UNT3200B,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:00609001、00609002、00609003、00609004,其他: 。名称:圆(镍)网除胶循环利用系统,型号:UNT-YWCJ,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:12205478、12205479、12205480、12205481,其他: 。名称:圆网磁棒印花机,型号:LMA666-280,数量:2.0,出厂编号:/,21506,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:10736678、10736677、10736676、10736675、10736690、10736689、10736688、10736687、10736686、10736685、10736684、10736683、10736682、10736681、10736680、10736679、10736700、10736699、10736698、10736697、10736696、10736695、10736694、10736693、10736691、10736692、10736710、10736709、10736708、10736707、10736706、10736705、10736704、10736703、10736702、10736701,其他: 。名称:磁悬浮空气压缩机,型号:CG/A200-2/A,数量:2.0,出厂编号:0190240,0190288,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:12302318、12302317、12302316、12302315、12302314、12302313、12180004、12180003、12180002、12180001、26906534、26906533,其他: 。名称:磁悬浮空气压缩机,型号:CG/A180-2/A,数量:1.0,出厂编号:0190192,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:12302311、12180005、12180006、12180007、12180008、12180009,其他: 。名称:VOCs废气处理设备,型号:/,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:07480451、07480450、07480449、07480448、07480447、07480440、07480441、07480442、07480443、07480439,其他: 。名称:VOCs废气处理设备,型号:/,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:07480458、07480457、07480456、07480455、07480454、07480453,其他: 。名称:高效轧车,型号:/,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:13761124、13761123,其他: 。名称:高效轧车,型号:/,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:14724720、14724721,其他: 。名称:高效轧车,型号:2800,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:14724725、14724724,其他: 。名称:杭州叉车,型号:CPC45-AG53,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:14196945,其他: 。名称:杭州叉车,型号:CPC35-AG65J,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:14196944、13990000,其他: 。名称:蓝圆UV激光制网机,型号:BRC3000E-32,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:35871114,其他: 。名称:自动加料节能控制系统,型号:YN-120,数量:3.0,出厂编号:/,/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:38977788、38977790、38977789,其他: 。名称:萨震节能空压机,型号:SL VC-160A/2,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:27524637、27524638、27524639,其他: 。名称:萨震节能空压机,型号:SLVC-200A/2.5*1,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:16427597,其他: 。名称:萨震节能空压机,型号:SVC-37A/8.5*1,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:16427597,其他: 。名称:萨震节能空压机,型号:SL VC-160A/2,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:63003216、63003217、63003218、63003219、63003220、63003221,其他: 。名称:开放式圆网印花机,型号:MA666-280型-14套色,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:17280900、17280899、17280898、17280897、17280896、17280895、17280894、17280893、17280892、17280891、17280890、17280889、17280888、17280887、17280886、17280885,其他: 。名称:螺杆空压机,型号:/,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:34613523、34613524,其他: 。名称:蜡染布撂布机,型号:C-1,数量:8.0,出厂编号:/,/,/,/,/,/,/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:02009175、02009176、02009177、02009178、02009179、02009180、02009181、02009182,其他: 。名称:数控码布机,型号:GA852-180,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:01191610,其他: 。名称:码垛机器人,型号:/,数量:1.0,出厂编号:/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:16743072、16743071,其他: 。名称:切边机,型号:SC-2600,数量:2.0,出厂编号:/,/,设备所在地:山东省潍坊市昌邑市龙池镇北(海能化工项目区),发票号码:04236246、04236247,其他: 。名称:定型机、印花机燃烧系统,型号:/,数量:54.0,出厂编号:/,/,/,/,/,/,/,/,/,/,/,/,/,/,...",纺织服饰,制造业,纺织业,山东-潍坊-昌邑,天津-东丽,租赁融资事件-租赁资产价值1000-5000_5月
